order_id,customer_id,order_date,product_name,product_price,quantity
16118,cust_0079,2019-03-08 20:25:00,Plain Papadum,0.8,2
16118,cust_0079,2019-03-08 20:25:00,King Prawn Balti,12.95,1
16118,cust_0079,2019-03-08 20:25:00,Garlic Naan,2.95,1
16118,cust_0079,2019-03-08 20:25:00,Mushroom Rice,3.95,1
16118,cust_0079,2019-03-08 20:25:00,Paneer Tikka Masala,8.95,1
16118,cust_0079,2019-03-08 20:25:00,Mango Chutney,0.5,1
16117,cust_0015,2019-03-08 20:17:00,Plain Naan,2.6,1
16117,cust_0015,2019-03-08 20:17:00,Mushroom Rice,3.95,1
16117,cust_0015,2019-03-08 20:17:00,Tandoori Chicken (1/4),4.95,1
16117,cust_0015,2019-03-08 20:17:00,Vindaloo - Lamb,7.95,1
16117,cust_0015,2019-03-08 20:17:00,Chapati,1.95,1
16117,cust_0015,2019-03-08 20:17:00,Lamb Tikka,4.95,1
16117,cust_0015,2019-03-08 20:17:00,Saag Paneer,5.95,1
16116,cust_0094,2019-03-08 20:09:00,Aloo Chaat,4.95,1
16116,cust_0094,2019-03-08 20:09:00,Chicken Pakora,5.95,1
16116,cust_0094,2019-03-08 20:09:00,Chicken Chilli Garlic,9.95,1
16116,cust_0094,2019-03-08 20:09:00,Lamb Biryani,9.95,1
16116,cust_0094,2019-03-08 20:09:00,Keema Naan,2.95,1
16115,cust_0015,2019-03-08 20:01:00,Chicken Pakora,5.95,1
16115,cust_0015,2019-03-08 20:01:00,Plain Papadum,0.8,1
16115,cust_0015,2019-03-08 20:01:00,Mango Chutney,0.5,1
16115,cust_0015,2019-03-08 20:01:00,Red Sauce,0.5,1
16115,cust_0015,2019-03-08 20:01:00,Korma - Prawn,9.95,1
16115,cust_0015,2019-03-08 20:01:00,Peshwari Naan,2.95,1
16115,cust_0015,2019-03-08 20:01:00,Pilau Rice,2.95,1
16114,cust_0001,2019-03-08 19:44:00,Chicken Balti,9.95,1
16114,cust_0001,2019-03-08 19:44:00,Special Fried Rice,3.95,2
16113,cust_0073,2019-03-08 19:42:00,Chicken Tikka Masala,8.95,1
16113,cust_0073,2019-03-08 19:42:00,Curry - Lamb,7.95,1
16113,cust_0073,2019-03-08 19:42:00,Pilau Rice,2.95,1
16113,cust_0073,2019-03-08 19:42:00,Peshwari Naan,2.95,1
16113,cust_0073,2019-03-08 19:42:00,Plain Papadum,0.8,1
16112,cust_0052,2019-03-08 19:41:00,Plain Papadum,0.8,2
16112,cust_0052,2019-03-08 19:41:00,Vegetable Rice,3.95,1
16112,cust_0052,2019-03-08 19:41:00,Saag - Prawn,9.95,1
16112,cust_0052,2019-03-08 19:41:00,Tandoori Chicken Masala,8.95,1
16111,cust_0046,2019-03-08 19:29:00,Pilau Rice,2.95,1
16111,cust_0046,2019-03-08 19:29:00,Lamb Tikka Chilli Masala,8.95,1
16111,cust_0046,2019-03-08 19:29:00,Peshwari Naan,2.95,1
16111,cust_0046,2019-03-08 19:29:00,Saag Aloo,5.95,1
16110,cust_0054,2019-03-08 19:28:00,Aloo Gobi,5.95,1
16110,cust_0054,2019-03-08 19:28:00,Bhindi Bhajee,5.95,1
16110,cust_0054,2019-03-08 19:28:00,Saag Paneer,5.95,1
16110,cust_0054,2019-03-08 19:28:00,Mint Sauce,0.5,2
16110,cust_0054,2019-03-08 19:28:00,Chicken Biryani,9.95,1
16110,cust_0054,2019-03-08 19:28:00,Garlic Naan,2.95,1
16110,cust_0054,2019-03-08 19:28:00,Plain Naan,2.6,1
16110,cust_0054,2019-03-08 19:28:00,Tandoori Chicken Masala,8.95,1
16109,cust_0010,2019-03-08 19:26:00,Plain Papadum,0.8,4
16109,cust_0010,2019-03-08 19:26:00,Red Sauce,0.5,2
16109,cust_0010,2019-03-08 19:26:00,Chicken Tikka Masala,8.95,1
16109,cust_0010,2019-03-08 19:26:00,Madras - Chicken Tikka,7.95,1
16109,cust_0010,2019-03-08 19:26:00,Mushroom Rice,3.95,2
16109,cust_0010,2019-03-08 19:26:00,Garlic Naan,2.95,1
16109,cust_0010,2019-03-08 19:26:00,Bombay Aloo,5.95,1
16108,cust_0057,2019-03-08 19:25:00,Onion Bhajee,3.95,1
16108,cust_0057,2019-03-08 19:25:00,Sheek Kebab,4.95,1
16108,cust_0057,2019-03-08 19:25:00,Plain Papadum,0.8,8
16108,cust_0057,2019-03-08 19:25:00,Mango Chutney,0.5,2
16108,cust_0057,2019-03-08 19:25:00,Mint Sauce,0.5,2
16108,cust_0057,2019-03-08 19:25:00,Onion Chutney,0.5,1
16108,cust_0057,2019-03-08 19:25:00,Chicken Tikka (Main),8.95,1
16108,cust_0057,2019-03-08 19:25:00,Korma - Chicken,8.95,1
16108,cust_0057,2019-03-08 19:25:00,Chicken Tikka Masala,8.95,1
16108,cust_0057,2019-03-08 19:25:00,Plain Rice,2.95,1
16108,cust_0057,2019-03-08 19:25:00,Pilau Rice,2.95,1
16108,cust_0057,2019-03-08 19:25:00,Keema Naan,2.95,2
16108,cust_0057,2019-03-08 19:25:00,French Fries,3.95,1
16108,cust_0057,2019-03-08 19:25:00,Chicken Biryani,9.95,1
16108,cust_0057,2019-03-08 19:25:00,Mushroom Rice,3.95,1
16107,cust_0025,2019-03-08 19:16:00,Onion Bhajee,3.95,1
16107,cust_0025,2019-03-08 19:16:00,Korma - Chicken,8.95,1
16107,cust_0025,2019-03-08 19:16:00,Peshwari Naan,2.95,1
16107,cust_0025,2019-03-08 19:16:00,Pilau Rice,2.95,1
16106,cust_0048,2019-03-08 18:37:00,Chicken Tikka (Main),8.95,1
16106,cust_0048,2019-03-08 18:37:00,Chicken Tikka Masala,8.95,1
16106,cust_0048,2019-03-08 18:37:00,Meat Samosa,3.95,1
16105,cust_0076,2019-03-08 18:36:00,Plain Papadum,0.8,2
16105,cust_0076,2019-03-08 18:36:00,Mango Chutney,0.5,1
16105,cust_0076,2019-03-08 18:36:00,Mint Sauce,0.5,1
16105,cust_0076,2019-03-08 18:36:00,Red Sauce,0.5,1
16105,cust_0076,2019-03-08 18:36:00,Keema Rice,3.95,1
16105,cust_0076,2019-03-08 18:36:00,Keema Naan,2.95,1
16105,cust_0076,2019-03-08 18:36:00,Chicken Chilli Garlic,9.95,1
16105,cust_0076,2019-03-08 18:36:00,Lamb Hari Mirch,9.95,1
16105,cust_0076,2019-03-08 18:36:00,Mushroom Bhajee,5.95,1
16104,cust_0028,2019-03-08 18:36:00,Curry - Chicken,7.95,1
16104,cust_0028,2019-03-08 18:36:00,Bombay Aloo,5.95,1
16104,cust_0028,2019-03-08 18:36:00,Plain Naan,2.6,1
16104,cust_0028,2019-03-08 18:36:00,Vegetable Rice,3.95,1
16103,cust_0049,2019-03-08 18:34:00,Chicken Tikka Biryani,10.95,1
16103,cust_0049,2019-03-08 18:34:00,Mixed Starter,5.95,1
16102,cust_0033,2019-03-08 18:32:00,Onion Bhajee,3.95,1
16102,cust_0033,2019-03-08 18:32:00,Chicken Tikka Biryani,10.95,1
16102,cust_0033,2019-03-08 18:32:00,Bhuna - Chicken Tikka,8.95,1
16102,cust_0033,2019-03-08 18:32:00,Mushroom Rice,3.95,1
16101,cust_0029,2019-03-08 18:12:00,Keema Rice,3.95,1
16101,cust_0029,2019-03-08 18:12:00,Madras - Lamb,7.95,1
16101,cust_0029,2019-03-08 18:12:00,Bombay Aloo,5.95,1
16100,cust_0012,2019-03-08 18:00:00,Masala Sauce,3.95,1
16100,cust_0012,2019-03-08 18:00:00,Mushroom Rice,3.95,1
16100,cust_0012,2019-03-08 18:00:00,Bottle Coke,2.95,1
